Name,Phone,Website,Address
Clay Pit Indian Kitchen,(310) 472-2500,http://www.cowboysandturbans.com,"2337 Roscomare Rd, Los Angeles, CA 90077"
Anarkali Indian Restaurant,(323) 934-6488,http://www.urbanmasalahollywood.com,"838 S Grand Ave, Los Angeles, CA 90001"
Gill's Cuisine of India,(213) 623-1050,http://www.indiasovenlosangelesca.com,"7013 Melrose Ave, Los Angeles, CA 90017"
Anarkali Indian Restaurant,(323) 934-6488,http://www.isweethouse.com,"2815 W Sunset Blvd, Los Angeles, CA 90038"
Cowboys & Turbans,(213) 483-7778,http://www.gateofindiasunset.com,"6554 Hollywood Blvd, Los Angeles, CA 90026"
Urban Masala,(323) 957-9999,http://www.indiasgrill.com,"11645 Wilshire Blvd, Los Angeles, CA 90028"
India's Oven,(310) 207-5522,http://jaipurcuisineofindia.us,"5992 W Pico Blvd, Los Angeles, CA 90025"
India Sweet House,(323) 934-5193,http://www.indiasovenla.com,"7300 W Sunset Blvd, Los Angeles, CA 90035"
Gate of India,(323) 874-6673,http://crownofindialosangeles.us,"428 S San Vicente Blvd, Los Angeles, CA 90046"
India's Grill,(310) 659-3903,http://www.swadesh.org,"10916 W Pico Blvd, Los Angeles, CA 90048"
All India Cafe,(310) 442-5250,http://www.allindiacafe.com,"12113 Santa Monica Blvd, Los Angeles, CA 90025"
Bombay Bite,(310) 824-1046,http://www.eastindiagrillla.com,"1051 Gayley Ave, Los Angeles, CA 90024"
East India Grill,(323) 936-8844,http://www.indiastandoori.net,"345 N La Brea Ave, Los Angeles, CA 90036"
LA Bengal Dynasty,(323) 876-2799,http://www.parusrestaurant.com,"5229 Hollywood Blvd, Los Angeles, CA 90027"
Indias Tandoori,(323) 936-2050,http://agracafelosangeles.us,"5468 Wilshire Blvd, Los Angeles, CA 90036"
Parus Indian Vegetarian Restaurant,(323) 661-7600,http://www.rocksugarkitchen.com,"5140 W Sunset Blvd, Los Angeles, CA 90027"
Saffron Downtown Los Angeles,(213) 488-9754,http://www.thebollywoodbites.com,"505 S Flower St Ste B250, Los Angeles, CA 90071"
Agra Cafe,(323) 665-7818,http://23rdstreetcafela.com,"4325 W Sunset Blvd, Los Angeles, CA 90029"
Rock Sugar,(310) 552-9988,http://www.parusrestaurant.com,"10250 Santa Monica Blvd Ste 654, Los Angeles, CA 90067"
Bollywood Bites,(310) 824-1046,https://www.anarbaghlaca.com,"1051 Gayley Ave, Los Angeles, CA 90024"
23rd Street Cafe,(213) 749-1593,http://himalayanhousela.us,"936 W 23rd St, Los Angeles, CA 90007"
Paru's,(323) 661-7600,http://www.goldenindiangrill.com,"5140 W Sunset Blvd, Los Angeles, CA 90027"
Anarbagh,(323) 660-8800,http://www.indiasweetsandspices.us,"4656 Franklin Ave, Los Angeles, CA 90027"
Himalayan House,(213) 262-7897,http://www.tasteofindiahuntingtonparkca.com,"1277 W Jefferson Blvd, Los Angeles, CA 90007"
Golden Indian Grill & Italian Pizza,(323) 930-2193,http://indiasflavorglendale.us,"5954 W Pico Blvd, Los Angeles, CA 90035"
Himalayan Cuisine Catering,(310) 836-9696,http://mahanrestaurant.com,"10855 Venice Blvd, Los Angeles, CA 90034"
India Sweets & Spices,(323) 345-0360,http://www.bombaypalace.com,"3126 Los Feliz Blvd, Los Angeles, CA 90039"
Taste of India,(323) 582-2979,http://www.newbilalcuisine.com,"5937 State St, Huntington Park, CA 90255"
India's Flavor,(818) 957-5500,http://www.annapurnagrill.com,"3303 N Verdugo Rd, Glendale, CA 91208"
Mahan Indian Restaurant,(626) 458-6299,http://www.zafranpot.com,"110 W Main St, Alhambra, CA 91801"
Annapurna Cuisine,(310) 204-5500,http://www.radhikarestaurant.com,"10200 Venice Blvd Ste 101, Culver City, CA 90232"
Bombay Palace,(310) 659-9944,http://www.royalcurrycafeca.com,"8690 Wilshire Blvd, Beverly Hills, CA 90211"
Bilal Cuisine,(310) 641-4435,http://www.calichutney.com,"1117 W Manchester Blvd Ste G, Inglewood, CA 90301"
Annapurna Grill,(626) 584-1111,http://www.allindia.cafe,"929 E Colorado Blvd, Pasadena, CA 91106"
Zafran Pot,(310) 838-2130,http://www.originalindiasoven.com,"10408 Venice Blvd, Culver City, CA 90232"
New Flavor of India,(626) 572-7711,http://www.newflavorofindiarosemead.com,"3684 Rosemead Blvd, Rosemead, CA 91770"
Indian Theme Restaurant Inc.,(626) 287-7139,http://www.anarbaghbeverlyhills.com,"633 S San Gabriel Blvd, San Gabriel, CA 91776"
Claypit,(310) 551-0700,http://charghahousecc.com,"326 S Beverly Dr, Beverly Hills, CA 90212"
Anarbagh Restaurant,(310) 888-4011,http://www.gocurryhut.com,"138 S Beverly Dr, Beverly Hills, CA 90212"
Mama's Indian Kitchen,(310) 841-6559,http://newdelhipalace.us,"10032 Venice Blvd, Culver City, CA 90232"
Chargha House,(424) 228-4623,http://indiastandooriburbank.us,"5571 Sepulveda Blvd, Culver City, CA 90230"
Curry Hut Indian Food,(562) 821-5585,http://www.lalmirch.com,"8838 Whittier Blvd, Pico Rivera, CA 90660"
Jasmine Asian & Chinese Islamic Cuisine,(310) 313-3767,http://www.akbarcuisineofindia.com,"4135 Sepulveda Blvd, Culver City, CA 90230"
New Delhi Palace,(626) 405-0666,http://www.allindia.cafe,"950 E Colorado Blvd, Pasadena, CA 91106"
India's Tandoori,(818) 848-0004,http://flavorofindia.com,"142 N San Fernando Blvd, Burbank, CA 91502"
Lal Mirch,(818) 980-2273,http://flavorofindiahollywood.us,"11138 Ventura Blvd, Studio City, CA 91604"
Akbar Cuisine Of India,(626) 577-9916,http://www.theindiankitchenca.com,"44 N Fair Oaks Ave, Pasadena, CA 91103"
All India Flavor,(310) 839-2841,https://www.domainmarket.com/buynow/agraindiankitchen.com,"10708 Jefferson Blvd, Culver City, CA 90230"
Samosa House East,(310) 559-6350,http://www.orderfoodonline.com,"10700 Washington Blvd, Culver City, CA 90232"
All India Cafe,(626) 440-0309,http://www.indiansummergrill.com,"39 S Fair Oaks Ave, Pasadena, CA 91105"
Flavor of India,(818) 558-1199,http://www.cafelanka.com,"161 E Orange Grove Ave, Burbank, CA 91502"
Flavor Of India,(310) 274-1715,http://www.kabobtogo.com,"9045 Santa Monica Blvd, West Hollywood, CA 90069"
The Indian Kitchen,(323) 656-9000,http://www.mahanrestaurant.com,"8165 Santa Monica Blvd, West Hollywood, CA 90046"
King Of India,(818) 787-8488,http://www.assamindiankitchennhca.com,"14062 Burbank Blvd, Sherman Oaks, CA 91401"
Gangadin Restaurant,(818) 509-0722,http://www.spiceplusinc.com,"12067 Ventura Pl, Studio City, CA 91604"
Agra Indian Kitchen,(310) 827-0050,http://salomiindiannbangladeshi.com,"2553 Lincoln Blvd, Venice, CA 90291"
Bollywood Indian Restaurant,(818) 377-6200,http://www.bollywoodshermanoaks.com,"14426 Ventura Blvd, Sherman Oaks, CA 91423"
Indian Restaurant,(310) 374-7311,http://beachtandoori.com,"916 N Sepulveda Blvd, Manhattan Beach, CA 90266"
Kochi Indian Restaurant,(310) 937-3800,http://www.kochihermosabeach.com,"1101 Aviation Blvd, Hermosa Beach, CA 90254"
Assam Indian Kitchen,(818) 942-5561,http://www.assamindiankitchen.com,"5518 Cahuenga Blvd, North Hollywood, CA 91601"
Assam Indian Kitchen,(818) 942-5561,http://www.assamindiankitchen.com,"5518 1/2 Cahuenga Blvd, North Hollywood, CA 91601"
Flavor of India,(818) 761-8140,http://www.flavorofindia.com,"12321 Ventura Blvd, Studio City, CA 91604"
India's Clay Pit,(818) 980-5400,https://www.facebook.com/Indias-Clay-Pit-NoHo-102029063660274,"5667 Lankershim Blvd, North Hollywood, CA 91601"
Al Watan Halal Restaurant,(310) 644-6395,http://www.alwatanrestaurant.com,"13619 Inglewood Ave, Hawthorne, CA 90250"
New India's Oven,(310) 306-1500,http://newindiasoven.us,"13444 Maxella Ave, Marina Del Rey, CA 90292"
Quality-Bombay Indian Cuisine,(424) 269-1010,http://qualityofbombay.com,"15333 Hawthorne Blvd, Lawndale, CA 90260"
Mandovi Indian Cuisine,(424) 220-7115,http://www.mandoviindiancuisine.com/location.aspx,"150 S Sepulveda Blvd, El Segundo, CA 90245"
Samosa House El Segundo,(310) 496-7389,http://tamarindla.com,"700 S Allied Way Ste A, El Segundo, CA 90245"
Tamarind Cuisine of India,(818) 995-1777,https://www.facebook.com/DarbarIndianCuisine,"14611 Ventura Blvd, Sherman Oaks, CA 91403"
Darbar Indian Cuisine,(818) 995-1777,http://claypit.net,"14611 Ventura Blvd, Sherman Oaks, CA 91403"
Clay Pit Of India,(425) 337-9600,http://www.tamarindla.com,"1815 Hawthorne Blvd, Redondo Beach, CA 90278"
Tamarind Cuisine of India,(818) 995-1777,http://darbarla.com,"14611 1/2 Ventura Blvd, Sherman Oaks, CA 91403"
Darbar Indian Cuisine,(818) 995-1777,http://alaminhalaltorrance.us,"14611 1/2 Ventura Blvd, Sherman Oaks, CA 91403"
Super Al Amin,(310) 538-1188,http://ritascafesm.com,"18220 Prairie Ave, Torrance, CA 90504"
Samosa House,(310) 314-0821,http://www.tumbibar.com,"2301 Main St, Santa Monica, CA 90405"
Rita's Cafe,(424) 268-7196,http://www.facebook.com/BhanusIndian,"1450 5th St, Santa Monica, CA 90401"
Rita's Gate of India,(424) 268-7196,http://www.salomiindiannoho.com,"1450 5th St, Santa Monica, CA 90401"
Tumbi,(310) 829-7200,http://noorsbistromonrovia.us,"115 Santa Monica Blvd, Santa Monica, CA 90401"
Bhanu Indian Grocery & Cuisine,(626) 291-2101,http://www.tasteofindiala.com,"7246 Rosemead Blvd, San Gabriel, CA 91775"
Salomi,(818) 506-0130,http://www.dhaba.biz,"5225 Lankershim Blvd, North Hollywood, CA 91601"
Noors Indian Bistro,(626) 932-0125,http://www.akbarcuisineofindia.com,"106 S Myrtle Ave, Monrovia, CA 91016"
Heart of India Cafe,(818) 990-1011,http://tandooraindia.us,"4523 Sepulveda Blvd, Sherman Oaks, CA 91403"
Tandoor-A-India,(310) 822-1435,https://www.facebook.com/pages/Bombay-Indian-Cuisine/109733955730008,"8406 Pershing Dr, Playa Del Rey, CA 90293"
Bombay Indian Cuisine,(310) 396-6879,http://www.robinasindianla.com,"1301 Ocean Front Walk, Venice, CA 90291"
Robinas Indian Cuisine,(818) 505-9890,http://tandoorindiasantamonica.us,"10943 Burbank Blvd, North Hollywood, CA 91601"
Tandoor India,(310) 581-9964,http://www.theindiarestaurant.net,"2622 Pico Blvd, Santa Monica, CA 90405"
India Sweets & Snacks Mart,(562) 868-5878,http://www.jaybharat.com,"15714 Pioneer Blvd, Norwalk, CA 90650"
Bombay Garden,(562) 860-4791,http://laparadisebiryani.com,"17221 Pioneer Blvd, Artesia, CA 90701"
The India Restaurant,(562) 860-5621,http://www.saffronspot.com,"17824 Pioneer Blvd, Artesia, CA 90701"
Jay Bharat Restaurant,(562) 924-3310,http://www.mezbanbiryanila.com,"18701 Pioneer Blvd, Artesia, CA 90701"
Curry Bowl,(818) 609-7683,http://craftedguru.com,"19662 Ventura Blvd, Tarzana, CA 91356"
Ashoka The Great,(562) 809-4229,http://www.ashaindianla.com,"18614 Pioneer Blvd, Artesia, CA 90701"
Udupi Palace,(562) 860-1950,http://www.ashaindianrestaurant.com,"18635 Pioneer Blvd, Artesia, CA 90701"
Paradise Biryani Pointe,(562) 666-2334,http://www.srindiancuisineduarte.us,"18158 Pioneer Blvd, Artesia, CA 90701"
Saffron Spot,(562) 809-4554,http://www.anjapparla.com,"18744 Pioneer Blvd, Artesia, CA 90701"
Tirupathi Bhimas,(562) 809-3806,http://www.chennaidosacornerartesia.com,"18792 Pioneer Blvd, Artesia, CA 90701"
Mezban Biryani Palace,(562) 865-3838,http://monsoonrestaurant.com,"18620 Pioneer Blvd, Artesia, CA 90701"
Guru: Crafted Indian Food,(562) 379-0011,http://www.biryanipotusa.com,"18792 Pioneer Blvd, Artesia, CA 90701"
The Town,(818) 578-6331,https://shahnawazonline.com,"18608 Ventura Blvd, Tarzana, CA 91356"
Asha Indian Restaurant,(818) 578-6331,https://www.tandoorifresh.com,"18608 1/2 Ventura Blvd, Tarzana, CA 91356"
India Food & Spices,(626) 357-6899,http://page70.com/Ifoodandspices,"2221 Huntington Dr, Duarte, CA 91010"
Bollywood Indian,(562) 202-9550,http://www.addistandoor.com,"20707 Belshire Ave, Lakewood, CA 90715"
Streets of India Cafe,(818) 325-2500,http://www.indiasnacknsweet.com,"16260 Ventura Blvd, Encino, CA 91436"
Addi's Tandoor,(310) 540-1616,http://www.tajmahaldining.com,"800 Torrance Blvd Ste 101, Redondo Beach, CA 90277"
All Indian Sweets & Snacks,(310) 370-5156,http://www.suratifarsan.com,"20916 Hawthorne Blvd, Torrance, CA 90503"
Taj Mahal,(818) 345-2244,http://shanrestaurant.com,"17815 Ventura Blvd Ste 201, Encino, CA 91316"
Surati Farsan Mart,(562) 860-2310,http://www.agratandoori.com,"11814 186th St, Artesia, CA 90701"
Shan Restaurant,(562) 865-3838,http://www.tasteofindiaca.com/‎,"18621 Pioneer Blvd, Artesia, CA 90701"
Agra Tandoori Indian Restaurant,(818) 342-2290,http://www.issduarte.com,"19560 Ventura Blvd, Tarzana, CA 91356"
Taste of India,(562) 595-7525,http://www.anarbaghindiancuisine.com,"2620 Long Beach Blvd, Long Beach, CA 90806"
India Sweets & Spices,(626) 357-6899,http://www.tibetnepalhouse.com,"1208 Huntington Dr, Duarte, CA 91010"
Anarbagh Indian Restaurant,(818) 907-7100,http://www.bollywoodcafela.com,"17312 Ventura Blvd, Encino, CA 91316"
Pickles Indian Cuisine,(562) 860-3999,https://www.spice-affair.com,"11688 South St Ste 107, Artesia, CA 90701"
La Indiana Restaurant,(626) 336-2466,https://www.ecocaters.com,"144 N 1st St, La Puente, CA 91744"
Tibet Nepal House,(626) 585-0955,http://mayurala.com,"36 E Holly St, Pasadena, CA 91103"
Bollywood Cafe,(818) 508-8400,http://www.alnoor-restaurant.net,"11101 Ventura Blvd, Studio City, CA 91604"
Kurry and Kabab,(747) 215-6418,http://mintleafpasadena.com,"1500 Canada Blvd, Glendale, CA 91208"
Bollywood Cafe 2,(818) 508-5533,http://www.sukhadia.com,"3737 Cahuenga Blvd, Studio City, CA 91604"
Spice Affair Beverly Hills Indian Restaurant,(310) 400-6800,http://www.tajpacificpalisades.com,"50 N La Cienega Blvd Ste 120, Beverly Hills, CA 90211"
Eco Caters,(858) 246-6129,http://www.orchidgrillandkabob.com,"9040 Lindblade St, Culver City, CA 90232"
Anarbagh Indian restaurant,(818) 907-7100,http://www.uncleyurestaurants.com,"138 S Beverly Dr, Beverly Hills, CA 90212"
Uncle Yu's Indian Restaurant,(626) 287-0688,https://www.grubhub.com/restaurant/fine-indian-curry-and-napoli-pizzeria-14617-crenshaw-blvd-gardena/934784,"633 S San Gabriel Blvd Ste 105, San Gabriel, CA 91776"
